,title,Directed by,Screenplay by,Story by,Produced by,Starring,Cinematography,Edited by,Music by,Distributed by,Release dates,Running time,Country,Language,Budget,Box office,Running time (int),Budget (float),Box office (float),Release date (datetime),imdb,metascore,rotten_tomatoes,Based on,Production companies,Release date,Production company,Written by,Narration by,Languages,Countries,Narrated by,Japanese,Hepburn,Simplified,Mandarin
55,Happy Feet Two,George Miller,,,"['George Miller', 'Bill Miller', 'Doug Mitchell']","['Elijah Wood', 'Robin Williams', 'Hank Azaria', 'P!nk', 'Brad Pitt', 'Matt Damon', 'Richard Carter', 'Common', 'Sofia Vergara', 'Magda Szubanski', 'Hugo Weaving', 'Anthony LaPaglia']","['David Dulac', 'David Peers']",Christian Gazal,John Powell,"['Warner Bros. Pictures (International)', 'Roadshow Entertainment (Australia & New Zealand)']","[""November 13, 2011 ( 2011-11-13 ) ( Grauman's Chinese Theatre )"", 'November 18, 2011 ( 2011-11-18 ) (United States)', 'December 26, 2011 ( 2011-12-26 ) (Australia)']",100 minutes,,English,$135 million,$150.4 million,100.0,135000000.0,150400000.0,,5.8,50,45%,,"['Village Roadshow Pictures', 'Kennedy Miller Mitchell', 'Dr. D Studios']",,,"['George Miller', 'Gary Eck', 'Warren Coleman', 'Paul Livingston']",,,"['Australia', 'United States']",,,,,
56,We Bought a Zoo,Cameron Crowe,"['Aline Brosh McKenna', 'Cameron Crowe']",,"['Julie Yorn', 'Cameron Crowe', 'Marc Gordon']","['Matt Damon', 'Scarlett Johansson', 'Thomas Haden Church', 'Colin Ford', 'Elle Fanning', 'Maggie Elizabeth Jones', 'Patrick Fugit', 'John Michael Higgins']",Rodrigo Prieto,Mark Livolsi,Jónsi,20th Century Fox,"['December 12, 2011 ( 2011-12-12 ) ( Ziegfeld Theatre )', 'December 21, 2011 ( 2011-12-21 ) (United States)']",124 minutes,United States,English,$50 million,$120.1 million,124.0,50000000.0,120100000.0,,7.1,58,65%,"['We Bought a Zoo', 'by Benjamin Mee']","['Vinyl Films', 'LBI Entertainment', 'Dune Entertainment']",,,,,,,,,,,
57,Promised Land,Gus Van Sant,"['John Krasinski', 'Matt Damon']",Dave Eggers,"['Chris Moore', 'Matt Damon', 'John Krasinski']","['Matt Damon', 'John Krasinski', 'Frances McDormand', 'Rosemarie DeWitt', 'Hal Holbrook']",Linus Sandgren,Billy Rich,Danny Elfman,Focus Features,"['December 4, 2012 ( 2012-12-04 ) ( New York City )', 'December 28, 2012 ( 2012-12-28 ) (United States)']",106 minutes,United States,English,$15 million,$12.3 million,106.0,15000000.0,12300000.0,,6.6,55,53%,,"['Participant Media', 'Image Nation Abu Dhabi', 'Pearl Street Films', 'Sunday Night Productions']",,,,,,,,,,,
58,Elysium,Neill Blomkamp,,,"['Bill Block', 'Neill Blomkamp', 'Simon Kinberg']","['Matt Damon', 'Jodie Foster', 'Sharlto Copley', 'Alice Braga', 'Diego Luna', 'Wagner Moura', 'William Fichtner']",Trent Opaloch,"['Julian Clarke', 'Lee Smith']",Ryan Amon,Sony Pictures Releasing,"['August 7, 2013 ( 2013-08-07 ) (Taiwan)', 'August 9, 2013 ( 2013-08-09 ) (United States)']",109 minutes,United States,English,$115 million,$286.1 million,109.0,115000000.0,286100000.0,,6.6,61,64%,,"['TriStar Pictures', 'Media Rights Capital', 'QED International', 'Alphacore', 'Kinberg Genre']",,,Neill Blomkamp,,,,,,,,
59,The Zero Theorem,Terry Gilliam,,,"['Nicolas Chartier', 'Dean Zanuck']","['Christoph Waltz', 'David Thewlis', 'Mélanie Thierry', 'Lucas Hedges']",Nicola Pecorini,Mick Audsley,George Fenton,Stage 6 Films,"['2 September 2013 ( 2013-09-02 ) ( Venice )', '14 March 2014 ( 2014-03-14 ) (United Kingdom)']",106 minutes,,,$8.5–13.5 million,$1.2 million,106.0,8500000.0,1200000.0,,6.0,50,48%,,"['MediaPro Studios', 'Voltage Pictures', 'Zanuck Independent', 'A&E Productions']",,,Pat Rushin,,"['English', 'Romanian']","['United Kingdom', 'Romania', 'France']",,,,,
60,The Monuments Men,George Clooney,,,"['George Clooney', 'Grant Heslov']","['George Clooney', 'Matt Damon', 'Bill Murray', 'John Goodman', 'Jean Dujardin', 'Bob Balaban', 'Hugh Bonneville', 'Cate Blanchett']",Phedon Papamichael,Stephen Mirrione,Alexandre Desplat,"['Sony Pictures Releasing (North America)', '20th Century Fox (International)']","['February 7, 2014 ( 2014-02-07 ) (United States)', 'February 20, 2014 ( 2014-02-20 ) (Germany)']",118 minutes,,English,$70–91 million,$155 million,118.0,70000000.0,155000000.0,,6.1,52,31%,"['The Monuments Men', 'by', 'Robert M. Edsel', 'with', 'Bret Witter']","['Columbia Pictures', 'Fox 2000 Pictures', 'Smokehouse Pictures', 'Studio Babelsberg']",,,"['George Clooney', 'Grant Heslov']",,,"['Germany', 'United States']",,,,,
61,The Man Who Saved the World,Peter Anthony,,,Jakob Staberg,"['Stanislav Petrov', 'Galina Kalinina', 'Sergey Shnyryov', '[', 'ru', ']', 'Kevin Costner']","['Kim Hattesen', 'Anders Löfstedt']",Morten Højbjerg,Kristian Eidnes Andersen,Syndicado,,110 minutes,Denmark,,,,110.0,,,2013-04-27,4.4,N/A,,,"['Statement Film', 'Light Cone Pictures', 'Studio Mao (in association with)']",['27 April 2013 ( 2013-04-27 ) (Hot Docs)'],,Peter Anthony,,English and Russian,,,,,,
62,Interstellar,Christopher Nolan,,,"['Emma Thomas', 'Christopher Nolan', 'Lynda Obst']","['Matthew McConaughey', 'Anne Hathaway', 'Jessica Chastain', 'Bill Irwin', 'Ellen Burstyn', 'Michael Caine']",Hoyte van Hoytema,Lee Smith,Hans Zimmer,"['Paramount Pictures (North America)', 'Warner Bros. Pictures (International)']","['October 26, 2014 ( 2014-10-26 ) ( TCL Chinese Theatre )', 'November 5, 2014 ( 2014-11-05 ) (United States)', 'November 7, 2014 ( 2014-11-07 ) (United Kingdom)']",169 minutes,,English,$165 million,$773.8 million,169.0,165000000.0,773800000.0,,8.6,74,73%,,"['Legendary Pictures', 'Syncopy', 'Lynda Obst Productions']",,,"['Jonathan Nolan', 'Christopher Nolan']",,,"['United Kingdom', 'United States']",,,,,
63,The Martian,Ridley Scott,Drew Goddard,,"['Simon Kinberg', 'Ridley Scott', 'Michael Schaefer', 'Mark Huffam']","['Matt Damon', 'Jessica Chastain', 'Kristen Wiig', 'Jeff Daniels', 'Michael Peña', 'Kate Mara', 'Sean Bean', 'Sebastian Stan', 'Aksel Hennie', 'Chiwetel Ejiofor']",Dariusz Wolski,Pietro Scalia,Harry Gregson-Williams,20th Century Fox,"['September 11, 2015 ( 2015-09-11 ) ( TIFF )', 'September 30, 2015 ( 2015-09-30 ) (United Kingdom)', 'October 2, 2015 ( 2015-10-02 ) (United States)']",141 minutes,,English,$108 million,$630.6 million,141.0,108000000.0,630600000.0,,8.0,80,91%,"['The Martian', '2011 novel', 'by', 'Andy Weir']","['Scott Free Productions', 'Kinberg Genre', 'TSG Entertainment']",,,,,,"['United Kingdom', 'United States']",,,,,
64,Manchester by the Sea,Kenneth Lonergan,,,"['Matt Damon', 'Kimberly Steward', 'Chris Moore', 'Lauren Beck', 'Kevin J. Walsh']","['Casey Affleck', 'Michelle Williams', 'Kyle Chandler', 'Lucas Hedges']",Jody Lee Lipes,Jennifer Lame,Lesley Barber,"['Amazon Studios', 'Roadside Attractions']","['January 23, 2016 ( 2016-01-23 ) ( Sundance )', 'November 18, 2016 ( 2016-11-18 ) (United States)']",137 minutes,United States,English,$9 million,$79 million,137.0,9000000.0,79000000.0,,7.8,96,96%,,"['K Period Media', 'Pearl Street Films', 'The Media Farm', 'The Affleck / Middleton Project', 'B Story']",,,Kenneth Lonergan,,,,,,,,
65,Jason Bourne,Paul Greengrass,,,"['Frank Marshall', 'Jeffrey M. Weiner', 'Ben Smith', 'Matt Damon', 'Paul Greengrass', 'Gregory Goodman']","['Matt Damon', 'Tommy Lee Jones', 'Alicia Vikander', 'Vincent Cassel', 'Julia Stiles', 'Riz Ahmed']",Barry Ackroyd,Christopher Rouse,"['John Powell', 'David Buckley']",Universal Pictures,"['July 11, 2016 ( 2016-07-11 ) ( Odeon Leicester Square )', 'July 29, 2016 ( 2016-07-29 ) (United States)']",123 minutes,United States,English,$120 million,$415.5 million,123.0,120000000.0,415500000.0,,6.6,58,54%,"['Characters', 'by', 'Robert Ludlum']","['Perfect World Pictures', 'Kennedy/Marshall', 'Captivate Entertainment', 'Pearl Street']",,,"['Paul Greengrass', 'Christopher Rouse']",,,,,,,,
66,The Great Wall,Zhang Yimou,"['Carlo Bernard', 'Doug Miro', 'Tony Gilroy']","['Max Brooks', 'Edward Zwick', 'Marshall Herskovitz']","['Thomas Tull', 'Charles Roven', 'Jon Jashni', 'Peter Loehr']","['Matt Damon', 'Jing Tian', 'Pedro Pascal', 'Willem Dafoe', 'Andy Lau']","['Stuart Dryburgh', 'Zhao Xiaoding']","['Mary Jo Markey', 'Craig Wood']",Ramin Djawadi,"['China Film Group (China)', 'Universal Pictures (United States)', 'United International Pictures (International)']","['December 6, 2016 ( 2016-12-06 ) ( Beijing )', 'December 16, 2016 ( 2016-12-16 ) (China)', 'February 17, 2017 ( 2017-02-17 ) (United States)', 'April 14, 2017 ( 2017-04-14 ) (Japan)']",103 minutes,,,$150 million,$334.9 million,103.0,150000000.0,334900000.0,,5.9,42,35%,,"['Legendary Pictures', 'Legendary East', 'Universal Pictures', 'Atlas Entertainment', 'China Film Group', 'Le Vision Pictures', 'Dentsu', 'Fuji TV']",,,,,"['English', 'Mandarin']","['China', 'United States', 'Japan']",,,,长城,Cháng Chéng
67,Bending the Arc,"Kief Davidson, Pedro Kos",,,"Cori Shepherd Stern, Executive producers: Matt Damon and Ben Affleck","Jim Yong Kim , Paul Farmer , Ophelia Dahl , Agnes Binagwaho","David Murdock, Guy Mossman, Joshua Dreyfus","Pedro Kos, Yuki Aizawa",,,,102 minutes,United States,English,,,102.0,,,2017-01-23,8.1,80,100%,,,"['January 23, 2017 ( 2017-01-23 ) (Sundance)']",Impact Partners,Cori Shepherd Stern,,,,,,,,
68,Downsizing,Alexander Payne,,,"['Mark Johnson', 'Alexander Payne', 'Jim Taylor']","['Matt Damon', 'Christoph Waltz', 'Hong Chau', 'Kristen Wiig']",Phedon Papamichael,Kevin Tent,Rolfe Kent,Paramount Pictures,"['August 30, 2017 ( 2017-08-30 ) ( Venice )', 'December 22, 2017 ( 2017-12-22 ) (United States)']",135 minutes,United States,English,$68–76 million,$55 million,135.0,68000000.0,55000000.0,,5.8,63,47%,,"['Ad Hominem Enterprises', 'Gran Via Productions']",,,"['Alexander Payne', 'Jim Taylor']",,,,,,,,
69,Suburbicon,George Clooney,,,"['George Clooney', 'Grant Heslov', 'Teddy Schwarzman']","['Matt Damon', 'Julianne Moore', 'Noah Jupe', 'Oscar Isaac']",Robert Elswit,Stephen Mirrione,Alexandre Desplat,"['Paramount Pictures (North America)', 'Bloom (International)']","['September 2, 2017 ( 2017-09-02 ) ( Venice )', 'October 27, 2017 ( 2017-10-27 ) (United States)']",105 minutes,United States,English,$25 million,$12.8 million,105.0,25000000.0,12800000.0,,5.7,42,,,"['Paramount Pictures', 'Black Bear Pictures', 'Dark Castle Entertainment', 'Silver Pictures', 'Smokehouse Pictures']",,,"['Joel Coen Ethan Coen', 'George Clooney', 'Grant Heslov']",,,,,,,,
70,Thor: Ragnarok,Taika Waititi,,,Kevin Feige,"['Chris Hemsworth', 'Tom Hiddleston', 'Cate Blanchett', 'Idris Elba', 'Jeff Goldblum', 'Tessa Thompson', 'Karl Urban', 'Mark Ruffalo', 'Anthony Hopkins']",Javier Aguirresarobe,"['Joel Negron', 'Zene Baker']",Mark Mothersbaugh,"['Walt Disney Studios', 'Motion Pictures']","['October 10, 2017 ( 2017-10-10 ) ( El Capitan Theatre )', 'November 3, 2017 ( 2017-11-03 ) (United States)']",130 minutes,United States,English,$180 million,$854 million,130.0,180000000.0,854000000.0,,7.9,74,93%,"['Stan Lee', 'Larry Lieber', 'Jack Kirby']",,,Marvel Studios,"['Eric Pearson', 'Craig Kyle', 'Christopher L. Yost']",,,,,,,,
71,Unsane,Steven Soderbergh,,,Joseph Malloch,"['Claire Foy', 'Joshua Leonard', 'Jay Pharoah', 'Juno Temple', 'Aimee Mullins', 'Amy Irving']","['Steven Soderbergh', '(as Peter Andrews)']","['Steven Soderbergh', '(as Mary Ann Bernard)']",David Wilder Savage,"['Fingerprint Releasing', 'Bleecker Street (United States)', '20th Century Fox (International)']","['February 21, 2018 ( 2018-02-21 ) ( Berlinale )', 'March 23, 2018 ( 2018-03-23 ) (United States)']",98 minutes,United States,English,$1.5 million,$14.3 million,98.0,1500000.0,14300000.0,,6.4,63,80%,,"['Regency Enterprises', 'Fingerprint Releasing', 'Extension 765']",,,"['Jonathan Bernstein', 'James Greer']",,,,,,,,
72,Deadpool 2,David Leitch,,,"['Simon Kinberg', 'Ryan Reynolds', 'Lauren Shuler Donner']","['Ryan Reynolds', 'Josh Brolin', 'Morena Baccarin', 'Julian Dennison', 'Zazie Beetz', 'T.J. Miller', 'Brianna Hildebrand', 'Jack Kesy']",Jonathan Sela,"['Dirk Westervelt', 'Craig Alpert', 'Elísabet Ronaldsdóttir']",Tyler Bates,20th Century Fox,"['May 10, 2018 ( 2018-05-10 ) ( Leicester Square )', 'May 18, 2018 ( 2018-05-18 ) (United States)']",119 minutes,United States,English,$110 million,$785.8 million,119.0,110000000.0,785800000.0,,7.7,66,84%,"['Fabian Nicieza', 'Rob Liefeld']","['20th Century Fox', 'Marvel Entertainment', 'Kinberg Genre', 'Maximum Effort', ""The Donners' Company"", 'TSG Entertainment']",,,"['Rhett Reese', 'Paul Wernick', 'Ryan Reynolds']",,,,,,,,
73,Ocean's 8,Gary Ross,"['Gary Ross', 'Olivia Milch']",Gary Ross,"['Steven Soderbergh', 'Susan Ekins']","['Sandra Bullock', 'Cate Blanchett', 'Anne Hathaway', 'Mindy Kaling', 'Sarah Paulson', 'Awkwafina', 'Rihanna', 'Helena Bonham Carter']",Eigil Bryld,Juliette Welfling,Daniel Pemberton,Warner Bros. Pictures,"['June 5, 2018 ( 2018-06-05 ) ( Alice Tully Hall )', 'June 8, 2018 ( 2018-06-08 ) (United States)']",110 minutes,United States,English,$70 million,$297.8 million,110.0,70000000.0,297800000.0,,7.1,N/A,,"['George Clayton Johnson', 'Jack Golden Russell']","['Warner Bros. Pictures', 'Village Roadshow Pictures', 'Smokehouse Pictures', 'Larger Than Life Productions']",,,,,,,,,,,
74,Ford v Ferrari,James Mangold,,,"['Peter Chernin', 'Jenno Topping', 'James Mangold']","['Matt Damon', 'Christian Bale', 'Jon Bernthal', 'Caitríona Balfe', 'Tracy Letts', 'Josh Lucas']",Phedon Papamichael,"['Michael McCusker', 'Andrew Buckland']","['Marco Beltrami', 'Buck Sanders']",20th Century Fox,"['August 30, 2019 ( 2019-08-30 ) ( Telluride )', 'November 15, 2019 ( 2019-11-15 ) (United States)']",152 minutes,United States,English,$97.6 million,$225.5 million,152.0,97600000.0,225500000.0,,8.1,81,92%,,"['Chernin Entertainment', 'TSG Entertainment', 'Turnpike Films']",,,"['Jez Butterworth', 'John-Henry Butterworth', 'Jason Keller']",,,,,,,,
75,Jay and Silent Bob Reboot,Kevin Smith,,,"['Jordan Monsanto', 'Destro']","['Jason Mewes', 'Kevin Smith']",Yaron Levy,Kevin Smith,James L. Venable,"['Saban Films (United States)', 'Universal Pictures Home Entertainment (International)']",,105 minutes,United States,English,$10 million,$4.7 million,105.0,10000000.0,4700000.0,2019-10-15,5.6,46,64%,"['Jay and Silent Bob', 'by', 'Kevin Smith']","['View Askew Productions', 'Miramax', 'Destro Films', 'Mewesings', 'SMODCO', 'Hideout Pictures', 'Intercut Capital', 'Skit Bags Entertainment']","['October 15, 2019 ( 2019-10-15 ) (United States)']",,Kevin Smith,,,,,,,,
76,No Sudden Move,Steven Soderbergh,,,Casey Silver,"['Don Cheadle', 'Benicio del Toro', 'David Harbour', 'Jon Hamm', 'Amy Seimetz', 'Brendan Fraser', 'Kieran Culkin', 'Noah Jupe', 'Craig muMs Grant', 'Julia Fox', 'Frankie Shaw', 'Ray Liotta', 'Bill Duke']",Peter Andrews,Mary Ann Bernard,David Holmes,Warner Bros. Pictures,"['June 18, 2021 ( 2021-06-18 ) ( Tribeca Film Festival )', 'July 1, 2021 ( 2021-07-01 ) (United States)']",115 minutes,United States,English,,,115.0,,,,6.4,76,92%,,,,Warner Bros. Pictures,Ed Solomon,,,,,,,,
77,Stillwater,Tom McCarthy,,,"['Steve Golin', 'Tom McCarthy', 'Jonathan King', 'Liza Chasin']","['Matt Damon', 'Camille Cottin', 'Abigail Breslin']",Masanobu Takayanagi,Tom McArdle,Mychael Danna,Focus Features,"['July 8, 2021 ( 2021-07-08 ) ( Cannes )', 'July 30, 2021 ( 2021-07-30 ) (United States)']",140 minutes,United States,,$20 million,$19.8 million,140.0,20000000.0,19800000.0,,6.6,60,75%,,"['Participant', 'DreamWorks Pictures', 'Slow Pony', 'Anonymous Content', '3dot Productions', 'Supernatural Pictures']",,,"['Tom McCarthy', 'Marcus Hinchey', 'Thomas Bidegain', 'Noé Debré']",,"['English', 'French']",,,,,,
78,The Last Duel,Ridley Scott,"['Nicole Holofcener', 'Ben Affleck', 'Matt Damon']",,"['Ridley Scott', 'Kevin J. Walsh', 'Jennifer Fox', 'Nicole Holofcener', 'Matt Damon', 'Ben Affleck']","['Matt Damon', 'Adam Driver', 'Jodie Comer', 'Ben Affleck']",Dariusz Wolski,Claire Simpson,Harry Gregson-Williams,20th Century Studios,"['September 10, 2021 ( 2021-09-10 ) ( Venice )', 'October 15, 2021 ( 2021-10-15 ) (United Kingdom and United States)']",153 minutes,,English,$100 million,$30.6 million,153.0,100000000.0,30600000.0,,7.4,67,85%,"['The Last Duel: A True Story of Crime, Scandal, and Trial by Combat in Medieval France', 'by', 'Eric Jager']","['Scott Free Productions', 'Pearl Street Films', 'TSG Entertainment']",,,,,,"['United Kingdom', 'United States']",,,,,
79,Thor: Love and Thunder,Taika Waititi,,,"['Kevin Feige', 'Brad Winderbaum']","['Chris Hemsworth', 'Christian Bale', 'Tessa Thompson', 'Jaimie Alexander', 'Taika Waititi', 'Russell Crowe', 'Natalie Portman']",Barry Idoine,"['Matthew Schmidt', 'Peter S. Elliot', 'Tim Roche', 'Jennifer Vecchiarello']","['Michael Giacchino (score and themes)', 'Nami Melumad (score)']","['Walt Disney Studios', 'Motion Pictures']","['June 23, 2022 ( 2022-06-23 ) ( El Capitan Theatre )', 'July 8, 2022 ( 2022-07-08 ) (United States)']",118 minutes,United States,English,$250 million,$760.9 million,118.0,250000000.0,760900000.0,,6.4,57,64%,Marvel Comics,,,Marvel Studios,"['Taika Waititi', 'Jennifer Kaytin Robinson']",,,,,,,,
80,Oppenheimer,Christopher Nolan,,,"['Christopher Nolan', 'Emma Thomas', 'Charles Roven']","['Cillian Murphy', 'Emily Blunt', 'Matt Damon', 'Robert Downey Jr.', 'Florence Pugh']",Hoyte van Hoytema,Jennifer Lame,Ludwig Göransson,Universal Pictures,,,United States,English,$100 million,,,100000000.0,,2023-07-21,8.3,N/A,,"['Kai Bird', 'Martin J. Sherwin']","['Syncopy Inc.', 'Atlas Entertainment']","['July 21, 2023 ( 2023-07-21 ) (United States)']",,Christopher Nolan,,,,,,,,
81,The People Speak,"['Howard Zinn', 'Chris Moore', 'Anthony Arnove']",,,"['Dan Abrams', 'Ara Katz', 'Art Spigel', 'David G. Johnson', 'Craig Roessler', 'Jesse Singer', 'Carolyn Mugar', 'Jodie Evans', 'Max Palevsky']",,,,Pieter A. Schlosser,,"['February 2009 ( 2009-02 ) (MoMA)', 'December 13, 2009 ( 2009-12-13 )']",,United States,English,,,,,,,7.3,N/A,,"['Howard Zinn', ""Voices of a People's History of the United States"", 'by Howard Zinn', 'Anthony Arnove']",,,,"['Howard Zinn', 'Anthony Arnove']",,,,,,,,
