,title,Directed by,Screenplay by,Story by,Produced by,Starring,Cinematography,Edited by,Music by,Distributed by,Release dates,Running time,Country,Language,Budget,Box office,Running time (int),Budget (float),Box office (float),Release date (datetime),imdb,metascore,rotten_tomatoes,Based on,Production companies,Release date,Production company,Written by,Narration by,Languages,Countries,Narrated by,Japanese,Hepburn,Simplified,Mandarin
35,The Brothers Grimm,Terry Gilliam,,,"['Charles Roven', 'Daniel Bobker']","['Matt Damon', 'Heath Ledger', 'Peter Stormare', 'Lena Headey', 'Jonathan Pryce', 'Monica Bellucci']",Newton Thomas Sigel,Lesley Walker,Dario Marianelli,"['Dimension Films', '(United States; through', 'Miramax Films', ')', 'Bontonfilm', '(Czech Republic)', 'Miramax International (International; through', 'Buena Vista International', ')']","['26 August 2005 ( 2005-08-26 ) (United States)', '4 November 2005 ( 2005-11-04 ) (United Kingdom)', '11 November 2005 ( 2005-11-11 ) (Czech Republic)']",118 minutes,,,$80–88 million,$105.3 million,118.0,80000000.0,105300000.0,,5.9,51,38%,,"['Mosaic Media Group', 'Daniel Bobker Productions', 'Metro-Goldwyn-Mayer', 'Atlas Entertainment']",,,Ehren Kruger,,"['English', 'French', 'German', 'Italian']","['United States', 'United Kingdom', 'Czech Republic']",,,,,
36,Syriana,Stephen Gaghan,Stephen Gaghan,,"['Jennifer Fox', 'Michael Nozik', 'Georgia Kacandes']","['George Clooney', 'Matt Damon', 'Jeffrey Wright', 'Chris Cooper', 'William Hurt', 'Tim Blake Nelson', 'Amanda Peet', 'Christopher Plummer', 'Alexander Siddig', 'Mazhar Munir']",Robert Elswit,Tim Squyres,Alexandre Desplat,Warner Bros. Pictures,"['November 20, 2005 ( 2005-11-20 ) (New York City premiere)', 'November 23, 2005 ( 2005-11-23 ) (United States)']",128 minutes,United States,,$50 million,$94 million,128.0,50000000.0,94000000.0,,6.9,76,73%,"['See No Evil', 'by', 'Robert Baer']","['Participant Productions', 'Section Eight Productions']",,,,,"['English', 'Arabic', 'Urdu', 'Persian', 'Chinese', 'French']",,,,,,
37,Feast,John Gulager,,,"['Michael Leahy', 'Joel Soisson', 'Larry Tanz', 'Andrew Jameson']","['Balthazar Getty', 'Krista Allen', 'Navi Rawat', 'Josh Zuckerman', 'Jenny Wade', 'Henry Rollins', 'Duane Whitaker', 'Clu Gulager', 'Judah Friedlander', 'Eileen Ryan', 'Eric Dane']",Thomas L. Callaway,Kirk M. Morri,Stephen Edwards,Dimension Films,"['October 14, 2005 ( 2005-10-14 ) ( CIFF )', 'September 22, 2006 ( 2006-09-22 ) ( Limited )']",87 minutes,United States,English,$3.2 million,"$658,573",87.0,3200000.0,658573.0,,6.2,43,55%,,"['LivePlanet', 'Maloof Motion Pictures', 'Neo Art & Logic']",,,"['Patrick Melton', 'Marcus Dunstan']",,,,,,,,
38,The Departed,Martin Scorsese,William Monahan,,"['Brad Pitt', 'Brad Grey', 'Gianni Nunnari', 'Graham King']","['Leonardo DiCaprio', 'Matt Damon', 'Jack Nicholson', 'Mark Wahlberg', 'Martin Sheen', 'Ray Winstone', 'Vera Farmiga', 'Alec Baldwin']",Michael Ballhaus,Thelma Schoonmaker,Howard Shore,Warner Bros. Pictures,"['September 26, 2006 ( 2006-09-26 ) ( Ziegfeld Theatre )', 'October 6, 2006 ( 2006-10-06 ) (United States)']",151 minutes,United States,English,$90 million,$291.5 million,151.0,90000000.0,291500000.0,,8.5,85,90%,"['Infernal Affairs', 'by', 'Alan Mak', '&', 'Felix Chong']","['Plan B Entertainment', 'Initial Entertainment Group', 'Vertigo Entertainment', 'Media Asia Films']",,,,,,,,,,,
39,The Good Shepherd,Robert De Niro,,,"['James G. Robinson', 'Jane Rosenthal', 'Robert De Niro']","['Matt Damon', 'Angelina Jolie', 'Alec Baldwin', 'Michael Gambon', 'Tammy Blanchard', 'Billy Crudup', 'Keir Dullea', 'Martina Gedeck', 'William Hurt', 'Timothy Hutton', 'Lee Pace', 'Eddie Redmayne', 'John Sessions', 'Oleg Stefan', 'Joe Pesci', 'John Turturro', 'Robert De Niro']",Robert Richardson,Tariq Anwar,"['Bruce Fowler', 'Marcelo Zarvos']",Universal Pictures,,167 minutes,United States,English,$80 million,$100.3 million,167.0,80000000.0,100300000.0,2006-12-22,6.7,61,56%,,"['Morgan Creek Productions', 'TriBeCa Productions', 'American Zoetrope']","['December 22, 2006 ( 2006-12-22 )']",,Eric Roth,,,,,,,,
40,Ocean's Thirteen,Steven Soderbergh,,,Jerry Weintraub,"['George Clooney', 'Brad Pitt', 'Matt Damon', 'Andy García', 'Don Cheadle', 'Bernie Mac', 'Ellen Barkin', 'Al Pacino', 'Casey Affleck', 'Scott Caan', 'Eddie Jemison', 'Qin Shaobo', 'Carl Reiner', 'Elliott Gould']",Peter Andrews,Stephen Mirrione,David Holmes,Warner Bros. Pictures,"['May 24, 2007 ( 2007-05-24 ) ( Cannes )', 'June 8, 2007 ( 2007-06-08 ) (United States)']",122 minutes,United States,English,$85 million,$311.7 million,122.0,85000000.0,311700000.0,,6.9,62,70%,"['George Clayton Johnson', 'Jack Golden Russell']","['Village Roadshow Pictures', 'Jerry Weintraub Productions', 'Section Eight Productions']",,,"['Brian Koppelman', 'David Levien']",,,,,,,,
41,The Bourne Ultimatum,Paul Greengrass,"['Tony Gilroy', 'Scott Z. Burns', 'George Nolfi']",Tony Gilroy,"['Frank Marshall', 'Patrick Crowley', 'Paul L. Sandberg']","['Matt Damon', 'Julia Stiles', 'David Strathairn', 'Scott Glenn', 'Paddy Considine', 'Édgar Ramírez', 'Albert Finney', 'Joan Allen']",Oliver Wood,Christopher Rouse,John Powell,Universal Pictures,"['July 25, 2007 ( 2007-07-25 ) ( ArcLight Hollywood )', 'August 3, 2007 ( 2007-08-03 ) (United States)']",115 minutes,,English,$110 million,$444.1 million,115.0,110000000.0,444100000.0,,8.0,85,92%,"['The Bourne Ultimatum', 'by', 'Robert Ludlum']","['Universal Pictures', 'Kennedy/Marshall', 'Ludlum Entertainment']",,,,,,"['Germany', 'United States']",,,,,
42,Youth Without Youth,Francis Ford Coppola,Francis Ford Coppola,,Francis Ford Coppola,"['Tim Roth', 'Bruno Ganz', 'Alexandra Maria Lara', 'André Hennicke', 'Marcel Iureș', 'Adrian Pintea']",Mihai Mălaimare Jr.,Walter Murch,Osvaldo Golijov,"['Sony Pictures Classics', '(US/Germany)', 'Pathé Distribution', '(France and United Kingdom)', 'BIM Distribuzione', '(Italy)']","['October 20, 2007 ( 2007-10-20 ) (Rome Film Festival)', 'October 26, 2007 ( 2007-10-26 ) (Italy)', 'November 14, 2007 ( 2007-11-14 ) (France)', 'December 14, 2007 ( 2007-12-14 ) (US)', 'July 10, 2008 ( 2008-07-10 ) (Germany)']",124 minutes,,,,$2.6 million,124.0,,2600000.0,,6.1,43,33%,"['Youth Without Youth', 'by', 'Mircea Eliade']",,,American Zoetrope,,,"['English', 'Sanskrit', 'German', 'French', 'Italian', 'Russian', 'Romanian', 'Mandarin', 'Latin', 'Armenian', 'Egyptian']","['United States', 'Romania', 'France', 'Italy', 'Germany']",,,,,
43,Running the Sahara,,,,"['Rick Eldridge', 'Marc Joubert', 'James Moll', 'Keith Quinn', 'Larry Tanz', 'Michael Rosen']",,Harris Done,Ricky Kreitman,,,,102 minutes,United States,English,,,102.0,,,,7.1,N/A,,,,2007,,,,,,Matt Damon,,,,
44,Che,Steven Soderbergh,,,"['Laura Bickford', 'Benicio del Toro']",Benicio del Toro,Peter Andrews,Pablo Zumárraga,Alberto Iglesias,"['Morena Films', '20th Century Fox', '(Spain)', 'Wild Bunch', '(Germany, Austria and Netherlands)', 'Warner Bros. Pictures', '(France)', 'IFC Films', '(United States)']","['21 May 2008 ( 2008-05-21 ) ( Cannes )', '5 September 2008 ( 2008-09-05 ) (Spain: The Argentine )', '12 December 2008 ( 2008-12-12 ) (United States)', '7 January 2009 ( 2009-01-07 ) (France: The Argentine )', '27 January 2009 ( 2009-01-27 ) (France: Guerrilla )', '27 February 2009 ( 2009-02-27 ) (Spain: Guerrilla )']",257 minutes,,,US$58 million,US$42.8 million,257.0,58000000.0,42800000.0,,6.0,N/A,,,"['Telecinco Cinema', 'Wild Bunch', 'Section Eight Productions']",,,"['Peter Buchman', 'Benjamin A. van der Veen', 'Terrence Malick']",,"['Spanish', 'English']","['Spain', 'Germany', 'France', 'United States']",,,,,
